name,description
Колонисты,"Зовут его Михаил Шальнов. Живёт он в ту эпоху, когда земляне начали массово колонизировать дальний космос. Семья Михаила никогда не была богатой, однако его родители нашли средства для того, чтобы отправить его учиться в институт. Когда же родителей не стало, Михаилу пришлось его покинуть и оправиться на вербовочный пункт корпорации «Гарден». Здесь в качестве техника 3 ранга он был завербован как колонист на планету Хруст."
Реформатор,"Михаил был обычным землянином, нашим современником. Вопросы единого земного информационного поля, поднятые ещё академиком Вернадским, его абсолютно не волновали. Однако оказалось, что такое поле всё-таки существует! В результате безнадёжно больной человек возродился в другом мире. Здесь на дворе стоит одиннадцатый век, а сам Михаил полон здоровья, сил и желания действовать."
Циклы романов фэнтези. Компиляция. Книги 1-11,"В книгу включены два цикла. Первый называется «А. Смолин. Ведьмак». Его главный герой – Александр Смолин. Он простой московский парень, работает обычным банковским служащим. У него доброе сердце, и, когда на улице становится плохо старику, Александр помогает ему. К сожалению, парень опоздал с помощью, и старик умер. Неожиданно Смолин узнаёт, что тот был самым настоящим ведьмаком и перед смертью передал свою силу ему. Теперь скромному банковскому клерку придётся вместо ушедшего на тот свет ведьмака исполнять миссию по борьбе с чудовищами и монстрами, проникшими в наш мир."
Фантастические циклы. Компиляция. Книги 1-11,"Они живут и действуют в разные исторические периоды и в разных мирах. В любом случае их жизнь наполнена опасностями и приключениями. Далеко не все из них идеальны, но зато все они смелы, мужественны и благородны. Автор описывает их приключения на фоне эпохальных исторических событий. При этом стоит отметить, что он очень тщательно проработал даже самые мельчайшие детали тех эпох, основываясь на реальном научном материале."
Три мушкетера,"В книге рассказана увлекательная история приключений д’Артаньяна и троих его друзей-мушкетеров. Главный герой – гасконец дворянского происхождения, который решает оставить родной дом и отправиться в столицу, чтобы стать мушкетером. Он полон надежд, однако в пути он вступает в драку, а его рекомендательное письмо оказывается украденным. По прибытии в столицу д’Артаньян узнает, что его не могут сразу принять в мушкетеры, а затем еще оскорбляет троих друзей-мушкетеров, которые вызывают его на дуэль. По воле судьбы они впоследствии становятся друзьями, и тогда начинаются их незабываемые приключения, полные опасностей, интриг, выпивки, общения с красивыми женщинами и высокопоставленными персонами. Удастся ли в результате д’Артаньяну исполнить свою мечту?"
Мама напрокат или семья в подарок,"Аделина к двадцати трём годам мало чего достигла. Она не замужем, детей нет. Отец пристроил её на работу в свою фирму, но быть на положении приживалки девушка не хотела. В один прекрасный день она поругалась по этому поводу с отцом, и тот вычеркнул её из завещания. Разобраться со своими чувствами и прийти в себя Аделина решила в одном маленьком кафе. В результате оказалась в другом мире."
Серый барон империи,"Тимофей Воронов когда-то служил в МВД. После отставки пошёл работать охранником. В качестве хобби избрал средневековое историческое фехтование. Однажды, отправившись на отдых за город с другом, Тимофей совершенно случайно попадает в иной мир. Оказывается, что его переместили сюда вместо одного местного мага и вернуться обратно Воронов быстро не сможет."
Шинель,"Главным героем является титулярный советник, проживающий в Петербурге. Его личность не особо заметна и совсем не значительна, однако он ответственно относится к своей службе в департаменте. Акакий Акакиевич нередко становится объектом насмешки со стороны других чиновников. При этом сам он достаточно мягок и спокоен. Когда его старая шинель пришла в негодность, ему пришлось отказывать себе во многом, однако покупка новой шинели не принесла ему ничего хорошего. И оказалось, что помощи ему просить не у кого."
Багровые пески Хаоса,"Риа – та, в чьих жилах течёт кровь кошки. Она когда-то была оборотнем, но в мире демонов таким как она нет места. Поэтому наставник девушки лорд Эллохор магическим способом старается избавить её от такого недостатка. Сам лорд – чистокровный демон. Он красив, холоден и безжалостен. К Риа он питает не только отеческие чувства, о чем неоднократно говорил ей."
Цикл Космоолухи-1. Компиляция 1-6,"Стас всю жизнь провёл в космосе, и теперь ему есть что вспомнить. Однако в возрасте сорока семи лет опытному космическому волку ещё рано уходить на покой. Об этом Стасу рассказал его близкий друг. В результате пенсионер решил изменить свою жизнь и отправился покупать транспортный корабль, недавно списанный в утиль. Он собирается снова вернуться в космос, но теперь будет работать только на себя. Подобрать практически новое судно из отправленных «в расход» ему помогает знакомый интендант."
Эвакуатор 2,"Москва жила своей жизнью, когда её накрыла буря из другого мира. В результате стихия захватила в плен пятнадцать миллионов человек. Потом вслед за ураганным ветром и крупным градом в столицу пришёл чужеродный ужас. Только одарённые смогли выжить в этих условиях. Среди них – Слава. Парня удар застиг в метро. Он на мгновение потерял сознание, в результате чего получил особый дар: теперь он умеет телепортироваться на недалёкие расстояния."
"Психология масс и анализ человеческого ""Я""","В своём труде Фрейд рассматривает поведение толпы и психологию каждого человека. Он говорит о том, что под влиянием духа толпы человек может отказаться от каких-то принципов, ему даже не нужно логическое объяснение всего происходящего. Толпа рассматривается как единый организм, который работает слаженно и без сбоев. Все члены толпы одинаково одухотворены и одинаково готовы идти за своим вождём. Почему людям так нужен вождь, тот, за кем нужно идти? Почему им нужен тот, кто будет принимать решения? Об этом рассказано в этой книге. Автор приводит примеры, говоря об армии или церкви. Он рассказывает также о том, что значит для человека престиж, соответствие общепринятым нормам."
Дракула,"Джонатан Харкер – молодой и наивный адвокат. Руководство адвокатской конторы, в которой он работает, поручило ему отправиться в командировку в Карпаты. Здесь он должен заключить сделку, направленную на продажу поместья. Само поместье принадлежит трансильванскому аристократу, которого зовут граф Дракула. Он имеет дурную славу в здешних местах, но Джонатан не придает этому никакого значения, а зря, ведь эта поездка может поставить под угрозу все то, что ему дорого."
Два капитана,"Писатель рисует образы героев, не обходя стороной второстепенных персонажей. Все они получились характерными, объемными, неоднозначными. Некоторые из них раскрываются далеко не сразу. С самого начала книги непонятно, кто какую роль сыграет в жизни главного героя. И не ясно, какой именно момент впоследствии станет наиболее важным."
Гроза пиратов по недоразумению,"Олег и его друзья случайно попали на этот корабль. Дело в том, что их банально похитили. Теперь они – живое мясо для работорговцев. Дело в том, что в Мирах Содружества земляне высоко ценятся за свой уровень интеллекта. Несмотря на то, что они дикие, то есть их цивилизация не имеет технологий, позволяющих осуществлять межзвёздные путешествия, из них можно сделать высококвалифицированных рабочих и наёмных специалистов, которые очень нужны более высокоразвитым расам."
Краткий экскурс не в свое дело,"Ирина – женщина не похожая на других. Она редко живёт тихой, спокойной жизнью. Обычно инициатором всех приключений становится её неразлучная подруга Наталья. Однако вроде бы в этот раз она абсолютно ни причём, и виноват во всём случай. Началось всё с того, что у Ирины улетел зонт. Это память о муже, и поэтому женщина не захотела с ним расставаться. Она решила догнать его."
Женское счастье,"На Земле её звали Лиза. Она жила обычной жизнью земной женщины. У неё было всё хорошо: престижная работа, любящий муж, достаток. Всего этого она лишилась в один день, когда узнала, что её Сергей ушёл к другой. Находясь в подавленном состоянии, Лиза совершенно случайно оказалась в межмировом тоннеле. Через него она переместилась в волшебный мир. Теперь она – Аллисия, подданная Актанийского королевства, дочь графа Риясского."
Поступь Слейпнира,"В 1987 году командир спецназа Вадим вместе со своим отрядом отправился на очередное задание. Спецназовцы должны были уничтожить одного из главарей моджахедов. Однако что-то пошло не так, и отряд попал в засаду. В результате взрыва гранаты все погибли. При этом Вадим остался жив, но не в нашем мире. Понял он это, только очнувшись."
След смерти,"Несколько лет назад у Кэри пропала дочь. Поиски не привели к каким-либо значимым результатам. Сложно представить, через что пришлось пройти матери, неожиданно потерявшей своего ребёнка в один миг. Кэри – детектив отдела пропавших без вести и сама занимается расследованием. Пока ничего нового не открылось, у неё есть только один способ отвлечься – помогать другим, максимально концентрируясь на том, что произошло."
Вопреки закону,"Сизов – опытный сотрудник УГРО, поэтому он, раскрывая особо опасное преступление, вышел на след тех, из-за кого в его совершении обвинили совершенно постороннего человека. В свое время опер из его отдела Мишуев упустил настоящих преступников, в результате чего невиновный просидел в тюрьме 12 лет. С этим событием тесно связано другое расследование, которое ведет майор Коренев. "
Дикий 2,"Алексей сорок лет жил на Земле жизнью обычного человека. У него была неплохая работа, семья, родители. Однажды мужчина отправился к родителям в гости, в деревню. Там с ним случился несчастный случай, в результате которого он чуть не погиб. Спасли его инопланетяне-сполоты. Они же рассказали, что в мирах Содружества контакты с низкоразвитыми цивилизациями запрещены. Земля – такая цивилизация."
Белый Клык,"События провести происходят в конце 19 века на Аляске. Это история единения волка и человека, причём большая часть этой истории рассказана именно так, как её видят животные. Белый Клык – отчасти собака, отчасти волк – с самого рождения знал, как сурова природа и как жесток может быть мир людей. Он был вынужден приспосабливаться и терпеть все невзгоды, в его сознании люди были богами, иногда – богами справедливыми, а иногда – жестокими. И только пройдя через множество испытаний и чуть не лишившись жизни, Белый Клык узнал доброту и любовь человека и смог ответить ему взаимностью."
Сатанинская библия,"В своей книге автор описывает сатанизм и представляет его в качестве религии, что противоречит мнению большинства последователей этого философско-мистического течения. Такая его позиция объясняется тем фактом, что в США долгое время атеистов не брали на некоторые должности. Поэтому Антон Шандор ЛаВей решил создать для людей, скептически настроенных к традиционным религиям, альтернативу. В результате в этой стране была основана и официально признана церковь, чьи прихожане исповедуют сатанизм."
Дочь врага,"Наги – это змеелюди. Они могущественны и надменны. С людьми они не разговаривают, они их убивают, если в этом, конечно же, есть нужда. Захри принадлежит к одному из самых знатных родов наг этого мира. Её род враждует с родом Рази Умранова. Совсем недавно отец Захри требовал от неё отравить еду жены брата Рази Далгета Умранова. Естественно, что Захри не смогла отравить беременную женщину."
Тайный наследник миллиардера,"Маша несколько лет назад познакомилась с Артуром Манаповым. Это красивый, уверенный в себе и состоятельный мужчина. Он заинтересовался девушкой, и у них начался бурный роман. В результате Артур стал первым мужчиной Маши. К сожалению, он разочаровал её и после первой же ночи сказал ей, что они не подходят друг другу. Кроме того, Артур заставил её выпить таблетки, чтобы она не забеременела. Естественно, что всё это нанесло глубокую душевную рану Маше."
История о двух сестрах,"Нэд Блайдон – английский аристократ и приятный во всех отношениях молодой человек. Он состоятелен, является наследником графского титула и любит проводить всё своё время в развлечениях. Однако его семья считает по-другому и поэтому буквально заставляет его жениться, тем более, что он уже вступил в соответствующий возраст. Ему даже подыскали невесту, и зовут её Лидия Торнтон."
Ликвидатор паханов,"Максим Катанов после школы служил в спецназе. Ещё до армии он влюбился в Ольгу. Во время службы парень приобрёл уникальные навыки, дающие ему значительные преимущества перед любым противником. Там же он познакомился с другой Ольгой – Желудевой. Она стала его персональным инструктором, хотя в армии и не служила, зато была дочерью командира части. По возвращении домой Максим узнал, что его возлюбленная живёт с другим."
COVID-19: Великая перезагрузка,"Её выход в свет спровоцировал грандиозный скандал, ведь авторы в ней затронули вопросы, являющиеся очень важными для каждого жителя Земли. Так, например, в ней они утверждают, что COVID-19 сумел нарушить давно и успешно работающий сценарий управления странами мировой закулисой. Это богатейшие и влиятельные люди планеты, чьи имена у всех на слуху. В результате от коронавируса мир понёс огромные потери в сфере экономики больше, чем от всех других негативных факторов, влияющих на неё."
Вольный стрелок,"Наш современник, землянин, был обманут космическими работорговцами. Он и ещё шесть тысяч жителей Земли были похищены и проданы в рабство. Однако корабль работорговцев был атакован звёздным крейсером Федерации. В ней не терпят рабства и уничтожают работорговцев как только могут. Освобождённого землянина назвали Диким, именно так зовут в Мирах содружества жителей тех планет, которые не имеют технологий, позволяющих путешествовать в межзвёздном пространстве."
Мои кровожадные соседи,"Маруся – человек добросердечный. При этом она ценит себя и может дать отпор любому наглецу. Однажды в жизни Маруси случилась весьма необычная перемена. Неизвестный ей дядюшка оставил девушке в наследство квартиру. Казалось бы – радостное событие, однако квартира-то необычная! Она может и не принять нового хозяина! Кстати, такое случалось неоднократно, как поговаривают новые знакомые Маруси по дому."
Антология фантастики и фэнтези-7. Компиляция. Книги 1-11,"Первый из них – Артём Каменистый. Его книги посвящены приключениям попаданца из нашего мира в мир меча и магии. Называется он Чащоба. Живут здесь самые опасные твари, созданные по воле Рока. Целые территории здесь заселены самыми причудливыми созданиями, в которых переплетена природа самых различных сил вселенной. Попасть сюда очень легко, а вот выбраться назад практически невозможно. Но это слово в лексиконе главного героя отсутствует, поэтому он обязательно пойдёт вперёд, навстречу любым опасностям и трудностям, лишь бы вернуться домой."
Выжженая земля. Тетралогия,"Капитану Рыжову Сергею Николаевичу было тридцать лет, когда он принял участие в одном научном эксперименте. Для того чтобы заставить его замолчать, руководство отправило офицера за решётку, сфабриковав против него уголовное дело. Там и застала его ядерная катастрофа, произошедшая из-за неправильно проведённого эксперимента, участником которого капитан невольно стал. Мир изменился, человеческая цивилизация погибла, остатки человечества прячутся от радиации в бомбоубежищах и бункерах."
Охотники Селесты,"В нашем мире Сергей был главным технологом одного металлоперерабатывающего предприятия. У него был достаток и всё то, о чём только мог бы мечтать человек. К сожалению, у него не задалась личная жизнь, поэтому Сергей решил всё бросить и начать заново. Он продал квартиру в столице и отправился на Алтай. Здесь его похитили космические пираты. Сергею не удалось сбежать от них или же обмануть их. Пришлось ему начинать жизнь в Мирах Содружества со статуса раба."
Достижение максимума,"Автор в своем труде делится двенадцатью универсальными факторами, которые обеспечивают максимальный эффект в развитии практически каждого человека. При этом он не только излагает теорию, но и дает практические советы. Самая большая часть из них посвящена тому, как человеку найти свое место в жизни, добиться успеха как в профессиональной, так и в личной сферах. Эти советы частью основаны на библейских принципах и могут быть использованы не только жителями США, но и России. Читатели определят, что именно важно в их жизни, поймут, как развить свои таланты, достичь целей, успеха в карьере, научиться позитивному общению с окружающими и, главное, делать это с удовольствием и хорошо себя чувствовать."
Осколки миров,"На Земле учёные затеяли эксперимент. В результате произошла глобальная катастрофа. Следствием эксперимента стало перемещение нашего мира в параллельное пространство. В нём Земля превратилась в настоящий ад. Города разрушены, ветер веет радиоактивный песок, повсюду мутанты и религиозные фанатики. Всеволод Бураков, бывший морпех, случайно оказался вместе со своими спутниками в этом пекле."
Осторожный убийца,"Дэвид Чизхольм – отставной военный. Из армии он дезертировал не по своей воле, он был обвинён в убийстве, которого он не совершал. Теперь отставник работает гидом, не имеет паспорта и мечтает как-то уехать из Италии, где живёт нелегально. В Америке, на родине, Дэвид был архитектором. Он пытается вести обычный образ жизни и даже пишет книгу об итальянских соборах. Выйти из этой сложной ситуации ему могут помочь только деньги."
Хозяин Сибири,"Иван никогда не желал строить карьеру в этом мире. Он всеми силами выступал против того, чтобы его объявили наследником мифической Тартарии. Обстоятельства изменились, и сейчас его желания никто не спрашивает. Кроме того, Ивану противно предательство тех, кто на него надеется. Именно из-за этого его взаимоотношения с императрицей и её свитой испортились. Империя находится на грани раздела. Этого правитель Урала, называемый также властителем Сибири, категорически не хочет."
Четвертый тост,"Главный герой книги – капитан Константин Глухов. На дворе конец 1980-х. Советский Союз на грани распада. Горбачёв по телевидению вещает о перестройке, а в национальных республиках зреют сепаратистские настроения. Константин – сотрудник российских спецслужб, которые буквально через несколько дней будут носить гордое звание ФСБ. Он находится в одной из прибалтийских республик."
Танго с призраком. Том 1,"Антония Даэлис Лассара – потомок знатного рода. Когда-то он был очень могущественным в этом магическом мире, однако же, когда отец Антонии запил, финансовое положение семьи резко ухудшилось. После смерти отца девушка осталась совсем одна. Для того чтобы выжить, она отправилась жить к родственникам, в семью родного дяди. У него самого на выданье две молодые дочери, кроме того, он не любит Антонию из-за давней семейной истории. Она связана со свадьбой отца и матери Антонии."
Особо одаренная особа,"Верея – сирота. У нее никого нет, при этом она обладает огромной магической мощью. Это обстоятельство позволяет ей легко поступить в Академию навьих тварей. Однако поступить оказалась легко, а вот учиться – не очень. Девушка обладает просто неуемным темпераментом. Он толкает ее во все тяжкие. В результате даже рутинный сбор материала для обычной курсовой работы превращается в сплошное приключение. "
Лидер с планеты Земля,"Наш современник – герой этой книги – в своей жизни на Земле был человеком несколько драчливым и даже лихим. В космос он попал совершенно случайно, ведь его мнения об этом никто и никогда не спрашивал. В результате парень оказался в самом центре схватки, которая началась между сильнейшими космическими державами и кланами. Пришлось Вит Алу, а именно так зовут попаданца теперь, начать совершать подвиги, хотя он совсем не рвался в герои космоса."
Мой самый любимый враг,"Людмила жила обычной жизнью простой девушки. С противоположным полом у неё отношения были не самые лучшие, а всё дело в Арсении. Этот парень как мог донимал её. То розыгрыш устроит, то поцелует на глазах у всех. И что ему нужно было от неё? Через восемь лет выяснилось, что парень просто любит Люду. Интересная новость для неё! И как ей теперь быть?"
Порожденная Грехом,"Мэддокс Уайт носит кличку Бешеный Пёс. Однажды его отца вместе с друзьями убили члены Итальянской Мафии. С той поры парень ненавидит всё связанное с фамилией Витиелло. Воспитал Мэддокса его дядя, президент Мотоклуба. Это предопределило его судьбу, и он вскоре должен будет продолжить его дело. Их клан снова на подъёме, но добиться окончательной победы ему мешает клан Витиелло, поэтому его необходимо уничтожить."
Муж на сдачу,"Мариэта – зельеварка и подданная Тропиндара. Мари – Маг Земли. В Адижон приехала с мужем, но он умер, а женщина тут так и осталась. Она оказывает колдовские услуги жителям магического мира и тем живёт. Доходы её малы, поэтому Мари всегда с нетерпением ждёт прибытия купца для того, чтобы приобрести у него как можно дешевле ингредиенты для своих зелий. Когда в очередной раз купец прибыл в город, она отправилась к нему и за покупки на сдачу получила раба. Раб, правда, болен, однако ему всего лишь тридцать лет, и он может выздороветь."
Влюблённая ведьма,"Её зовут Татьяна Ведьмина. Она – студентка университета и всем заявляет о том, что может влюбить в себя практически любого мужчину. При этом на свете есть тот человек, который её уже любит и готов пойти за ней на край света. Это Константин – её институтский приятель. Сама же Таня его не любит. Её сердце принадлежит ректору её института Олегу Владыко. Несмотря на сопротивление с его стороны, Ведьмина сумела влюбить мужчину в себя."
Идеальный мир для Социопата 2,"Игорь Варгов не по своей воле оказался в мире зомбиапокалипсиса. Да, он был ужасным социопатом и не любил общество людей, но то, что произошло, даже для него оказалось слишком экстремальным. Когда в наш мир пришла Система, Игорь находился у себя дома. Неожиданно парень осознал, что он теперь – персонаж особой игры, в которой его игровое имя – Варг. "
Аврия. Второй курс,"Когда-то то Виктор Скворцов работал в советских, а потоми в российских спецслужбах. Там он занимался изучением сверхъестественных явлений. Он стал заниматься этим, когда обнаружил в себе магический дар. Выйдя в отставку, он стал жить на Урале, где и обнаружил портал в другой мир. Теперь он – юный барон Кан. Попаданец уже освоился в новом мире и постепенно развивает своё баронство."
Избранные фантастические произведения. Компиляция. Книги 1-12,"Работая над ними, автор находился под впечатлением от книг Герберта Уэллса, братьев Стругацких и Станислава Лема. Всего в сборник вошло три цикла его произведений. Это «Бригадный генерал», «Звёзд не хватит на всех» и «Осколок победы» («Осколок империи»)."
Освобожденный,"Денис Миронов никогда не мечтал о космосе. Что там ему делать, если на Земле есть много интересного?! Например, рыбалка способна заменить все наслаждения в мире. Вот и в этот раз парень решил с друзьями выехать на природу. Несмотря на то, что он не любитель выпить, ему пришлось составить им компанию. В результате наступил длительный и глубокий сон."
Шесть лет,"Джейк Фишер – профессор колледжа. Шесть лет назад он присутствовал на свадьбе своей возлюбленной Натали. На церемонии она попросила его больше никогда не беспокоить её. Для того, чтобы забыть о сердечных ранах, Джейк на эти шесть лет с головой ушёл в преподавательскую работу. Он держал своё слово и не беспокоил Натали."
Фантастические циклы романов. Компиляция. Книги 1-10,"Первый цикл сборника называется «Совсем не герой». Его главный герой отправился на экскурсию в лес с ночёвкой. При этом туристической подготовкой он не обладал. В результате парень оступился, упал и очутился в другом мире. В нём есть магия и живут магические расы. Попаданец оказался в самом эпицентре интриг и войн, а ведь у него в запасе всего лишь знания программиста и немного недавно приобретённой магии. При этом он абсолютно не герой, а ведь придётся ему совершать вполне героические поступки."
Рыскач.Дилогия,"Главный герой жил в одном из городов магического мира. Воспитывал его дядя Борн, содержатель магической лавки. Ещё в пять лет у парня открылось зрение на магию. Это позволило ему видеть древние артефакты, чинить и заряжать их. Когда дядя умер, лавка отошла одной богатой и влиятельной госпоже. Главный герой не захотел работать у неё управляющим и отправился в пограничные земли."
Наместник Урала,"Иван Чуров был нашим современником и даже не мечтал о перемещениях в параллельные миры. В один из таких миров он попал совершенно случайно. Этот параллельный мир представляет собой имперскую Россию. В ней правит дочь Николая Второго. Разум Ивана переместился в тело обычного парня из деревни. Чуров имеет познания в медицине, и за четыре года пребывания в этом мире он достиг многого."
Арканарский вор,"Арчибальд Арканарский – потомок знатного графского рода, но с трёх лет из-за ряда обстоятельств он воспитывался не в родовом замке в окружении нянек и гувернёров, а в воровском притоне Арканара. Естественно, что в этих условиях он стал вором. При этом для него не чужды понятия благородства и чести. Именно поэтому члены гильдии воров Гиперийского королевства назначили ему свой высший титул. Этому в не малой степени способствовало то обстоятельство, что Арчибальд – очень весёлый и обаятельный молодой человек."
